Date,Close,High,Low,Open,Volume
2009-06-23,"2,955.00","3,000.00","2,910.00","3,000.00","12,227"
2009-06-22,"3,000.00","3,030.00","2,955.00","3,030.00","7,590"
2009-06-19,"3,030.00","3,060.00","2,950.00","2,990.00","13,263"
2009-06-18,"2,990.00","3,085.00","2,990.00","3,055.00","16,863"
2009-06-17,"3,045.00","3,095.00","2,985.00","3,095.00","16,048"
2009-06-16,"3,050.00","3,055.00","2,985.00","3,030.00","15,604"
2009-06-15,"3,030.00","3,125.00","3,030.00","3,125.00","8,130"
2009-06-12,"3,045.00","3,100.00","3,040.00","3,100.00","11,357"
2009-06-11,"3,060.00","3,100.00","2,990.00","3,060.00","17,621"
2009-06-10,"3,000.00","3,120.00","2,995.00","3,120.00","34,698"
2009-06-09,"3,050.00","3,050.00","2,985.00","3,030.00","13,446"
2009-06-08,"3,040.00","3,060.00","2,990.00","3,030.00","18,750"
2009-06-05,"3,030.00","3,030.00","2,965.00","3,020.00","26,160"
2009-06-04,"2,970.00","3,090.00","2,930.00","3,090.00","39,322"
2009-06-03,"3,020.00","3,090.00","2,980.00","3,020.00","27,965"
2009-06-02,"3,020.00","3,095.00","2,990.00","3,040.00","59,739"
2009-06-01,"3,030.00","3,110.00","2,950.00","2,950.00","38,438"
2009-05-29,"3,000.00","3,170.00","2,945.00","3,170.00","19,599"
2009-05-28,"3,000.00","3,040.00","2,820.00","3,040.00","36,858"
2009-05-27,"3,040.00","3,175.00","2,985.00","3,050.00","57,019"
2009-05-26,"3,050.00","3,120.00","2,940.00","3,120.00","48,588"
2009-05-25,"3,110.00","3,130.00","2,735.00","3,040.00","58,283"
2009-05-22,"3,100.00","3,205.00","3,030.00","3,060.00","60,891"
2009-05-21,"3,050.00","3,190.00","3,050.00","3,130.00","74,970"
2009-05-20,"3,145.00","3,235.00","3,135.00","3,175.00","55,566"
2009-05-19,"3,145.00","3,245.00","3,140.00","3,205.00","103,510"
2009-05-18,"3,160.00","3,490.00","3,100.00","3,350.00","85,139"
2009-05-15,"3,350.00","3,350.00","3,145.00","3,235.00","43,348"
2009-05-14,"3,180.00","3,180.00","3,000.00","3,020.00","41,280"
2009-05-13,"3,080.00","3,150.00","3,080.00","3,150.00","38,292"
2009-05-12,"3,150.00","3,285.00","3,075.00","3,220.00","94,438"
2009-05-11,"3,220.00","3,380.00","3,200.00","3,285.00","50,676"
2009-05-08,"3,300.00","3,345.00","3,200.00","3,210.00","24,372"
2009-05-07,"3,260.00","3,360.00","3,185.00","3,265.00","42,193"
2009-05-06,"3,260.00","3,395.00","3,230.00","3,395.00","43,538"
2009-05-04,"3,365.00","3,445.00","3,240.00","3,380.00","83,896"
2009-04-30,"3,350.00","3,390.00","3,185.00","3,270.00","50,332"
2009-04-29,"3,170.00","3,290.00","3,095.00","3,155.00","55,767"
2009-04-28,"3,155.00","3,590.00","3,155.00","3,590.00","116,406"
2009-04-27,"3,480.00","3,685.00","3,480.00","3,530.00","97,812"
2009-04-24,"3,595.00","3,760.00","3,420.00","3,610.00","179,519"
2009-04-23,"3,580.00","3,660.00","3,535.00","3,655.00","148,163"
2009-04-22,"3,650.00","3,785.00","3,600.00","3,785.00","119,054"
2009-04-21,"3,680.00","3,770.00","3,550.00","3,615.00","173,051"
2009-04-20,"3,700.00","3,705.00","3,370.00","3,370.00","110,447"
2009-04-17,"3,565.00","3,675.00","3,310.00","3,570.00","73,855"
2009-04-16,"3,570.00","3,800.00","3,570.00","3,650.00","94,883"
2009-04-15,"3,600.00","3,700.00","3,395.00","3,700.00","95,255"
2009-04-14,"3,720.00","3,775.00","3,240.00","3,315.00","126,292"
2009-04-13,"3,305.00","3,380.00","3,270.00","3,375.00","52,546"
2009-04-10,"3,290.00","3,295.00","3,155.00","3,160.00","93,544"
2009-04-09,"3,115.00","3,200.00","3,020.00","3,120.00","77,391"
